source,target,edge_type,synthetic_output_btc,is_change_output
230425980,5530458,original,0.07176636,1
232022460,232438397,original,0.01429306,1
230460314,230459870,original,0.12252275,1
230333930,230595899,original,0.15391999,1
232013274,232029206,original,0.00478992,1
232344069,27553029,original,0.01043473,1
36411953,230405052,original,0.05804182,1
34194980,5529846,original,0.03406479,1
3881097,232457116,original,0.04879334,1
230409257,32877982,original,0.01788751,1
230351738,195218118,original,0.14302692,1
88008478,232012569,original,0.12660925,1
232412408,232412405,original,0.05389254,1
232038018,232470342,original,0.19256711,1
2925426,230550393,original,0.08724903,0
232051089,232470704,original,0.01775388,1
233591710,234439913,original,0.07749832,1
232945017,94251207,original,0.01575403,1
6595740,79840192,original,0.14286436,1
212704383,212366182,original,0.04689186,1
69254632,230595355,original,0.03988181,1
166890641,82304496,original,0.02199114,1
232033533,230470022,original,0.21589774,1
230598493,43560505,original,0.04136023,1
14878322,230415750,original,0.02977776,1
232073372,75604335,original,0.03262879,1
230473487,7089694,original,0.09430425,1
231179595,3307463,original,0.07719141,1
230658679,232074274,original,0.0816984,1
5234549,231177927,original,0.08349114,1
232431877,2758467,original,0.65049421,1
81273879,232437171,original,0.03057117,1
3878856,3878886,original,0.02692524,1
231182296,14660781,original,0.01875064,1
13334987,5530452,original,0.10426446,1
230519287,194810163,original,0.19296755,1
230423321,232399276,original,0.04342426,1
230659456,230658142,original,0.01816629,1
230347386,43560505,original,0.01851123,1
37233982,230427468,original,0.10868639,1
43358239,230528714,original,0.12146915,1
75605182,75604052,original,0.09553956,1
230585122,231208959,original,0.02240185,1
230455950,2881274,original,0.06578217,1
232658952,232658962,original,0.05727008,1
230530291,2881273,original,0.06472721,1
75604616,37232637,original,0.14166567,1
230531551,4619363,original,0.06510947,1
230516010,230516478,original,0.11244358,1
232441583,232441589,original,0.05399277,1
5488136,27553759,original,0.07043558,1
5529367,232467632,original,0.10619756,1
230658273,230658517,original,0.00866393,1
231181128,232453404,original,0.03392492,1
232353601,230447764,original,0.02831263,1
230423018,232392936,original,0.02312934,1
234419729,152498092,original,0.035787,1
230531146,230545782,original,0.29937137,1
230415003,230414561,original,0.01761513,1
230453429,230459154,original,0.15912488,1
230425284,83431059,original,0.0066082,1
230530225,230095969,original,0.03331119,1
230440353,5234549,original,0.06052515,1
230440535,230440534,original,0.10060702,1
232022496,232022773,original,0.11688928,1
230348238,2881273,original,0.12899478,0
3409584,43560505,original,0.03276252,1
89273,3906238,original,0.02858646,1
230973596,232455956,original,0.13939705,1
38062994,80044108,original,0.0395747,1
230423318,230423018,original,0.0107718,1
146601928,232368272,original,0.01277909,1
232453639,232453630,original,0.01651737,1
89273,51860219,original,0.09040939,1
230521273,230522097,original,0.05906663,1
230658997,230658142,original,0.11401588,1
1913117,232909272,original,0.02981621,1
231179660,231177063,original,0.0602199,1
206222134,192431356,original,0.10547392,1
230967090,230439439,original,0.03434785,1
230658277,230563355,original,0.08613239,1
230455752,232416085,original,0.0224984,1
232038004,232037822,original,0.032204,1
230471902,230471916,original,0.03148999,0
232393313,230511916,original,0.01185498,1
